,날짜,파실 때,보내실 때,받으실 때
0,2023-05-26,75.51,0.85,+1.13%
1,2023-05-25,74.66,2.12,-2.76%
2,2023-05-24,76.78,1.56,+2.07%
3,2023-05-23,74.99,0.22,+0.29%
4,2023-05-22,74.77,0.16,+0.21%
5,2023-05-19,74.61,0.15,-0.19%
6,2023-05-18,74.76,0.43,-0.56%
0,2023-05-17,75.18,0.76,+1.02%
1,2023-05-16,74.42,0.12,-0.16%
2,2023-05-15,74.54,0.53,+0.71%
3,2023-05-12,74.01,0.73,-0.97%
4,2023-05-11,74.74,0.9,-1.18%
5,2023-05-10,75.64,0.91,-1.18%
6,2023-05-09,76.55,0.3,+0.38%
0,2023-05-08,76.25,1.38,+1.83%
1,2023-05-05,74.88,2.37,+3.27%
2,2023-05-04,72.5,0.23,+0.31%
3,2023-05-03,72.28,2.74,-3.64%
4,2023-05-02,75.01,4.23,-5.33%
5,2023-05-01,79.24,1.02,-1.26%
6,2023-04-28,80.26,2.78,+3.58%
0,2023-04-27,77.48,0.73,+0.95%
1,2023-04-26,76.75,3.21,-4.01%
2,2023-04-25,79.95,1.86,-2.27%
3,2023-04-24,81.81,0.99,+1.22%
4,2023-04-21,80.82,0.82,+1.01%
5,2023-04-20,83.55,0.81,-0.96%
6,2023-04-19,84.36,0.64,-0.74%
0,2023-04-18,85.0,0.05,+0.05%
1,2023-04-17,84.95,0.69,-0.80%
2,2023-04-14,85.64,0.03,+0.03%
3,2023-04-13,85.61,0.73,-0.85%
4,2023-04-12,86.35,1.16,+1.36%
5,2023-04-11,85.19,0.91,+1.08%
6,2023-04-10,84.28,0.71,-0.83%
0,2023-04-07,84.99,0.0,0.00%
1,2023-04-06,84.99,0.39,+0.46%
2,2023-04-05,84.59,0.12,+0.14%
3,2023-04-04,84.47,0.22,-0.25%
4,2023-04-03,84.69,5.3,+6.67%
5,2023-03-31,79.39,1.62,+2.08%
6,2023-03-30,77.77,1.0,+1.29%
0,2023-03-29,76.77,0.54,-0.69%
1,2023-03-28,77.31,0.17,+0.21%
2,2023-03-27,77.14,3.04,+4.10%
3,2023-03-24,74.1,1.07,-1.42%
4,2023-03-23,78.13,0.22,-0.27%
5,2023-03-22,78.35,0.38,+0.48%
6,2023-03-21,77.97,0.6,+0.78%
0,2023-03-20,77.37,0.23,+0.29%
1,2023-03-17,77.14,0.71,-0.91%
2,2023-03-16,77.85,0.59,+0.77%
3,2023-03-15,77.25,1.95,-2.45%
4,2023-03-14,79.2,1.81,-2.23%
5,2023-03-13,81.01,1.15,-1.39%
6,2023-03-10,82.16,0.92,+1.13%
0,2023-03-09,81.24,0.74,-0.89%
1,2023-03-08,81.97,0.1,-0.11%
2,2023-03-07,82.07,2.33,-2.75%
3,2023-03-06,84.4,0.09,+0.10%
4,2023-03-03,84.31,1.25,+1.50%
5,2023-03-02,83.06,0.71,+0.86%
6,2023-03-01,82.34,0.92,+1.12%
0,2023-02-28,81.43,1.17,+1.45%
1,2023-02-27,80.26,0.94,-1.15%
2,2023-02-24,81.2,1.14,+1.42%
3,2023-02-23,80.06,1.67,+2.13%
4,2023-02-22,78.38,2.11,-2.61%
5,2023-02-21,80.49,0.16,+0.19%
6,2023-02-17,82.07,0.76,-0.91%
0,2023-02-16,82.83,0.12,-0.14%
1,2023-02-15,82.95,0.1,-0.11%
2,2023-02-14,83.05,0.47,-0.56%
3,2023-02-13,83.52,0.36,+0.43%
4,2023-02-10,83.15,1.29,+1.57%
5,2023-02-09,81.86,0.3,-0.37%
6,2023-02-08,82.17,0.98,+1.20%
0,2023-02-07,81.19,2.21,+2.80%
1,2023-02-06,78.97,0.88,+1.12%
2,2023-02-03,78.1,1.98,-2.46%
3,2023-02-02,80.07,0.25,-0.31%
4,2023-02-01,80.32,2.03,-2.46%
5,2023-01-31,82.35,1.19,+1.46%
6,2023-01-30,81.16,2.0,-2.40%
0,2023-01-27,83.16,0.85,-1.01%
1,2023-01-26,84.02,1.0,+1.20%
2,2023-01-25,83.02,0.1,-0.12%
3,2023-01-24,83.12,1.77,-2.08%
4,2023-01-23,81.07,0.07,+0.08%
5,2023-01-20,81.0,0.51,+0.62%
6,2023-01-19,80.49,0.3,+0.37%
0,2023-01-18,80.19,0.47,-0.58%
1,2023-01-17,80.66,0.64,+0.80%
2,2023-01-13,80.02,0.63,+0.79%
3,2023-01-12,79.39,0.71,+0.89%
4,2023-01-11,78.68,1.61,+2.09%
5,2023-01-10,77.06,0.64,+0.83%
6,2023-01-09,76.43,1.03,+1.36%
0,2023-01-06,75.4,0.06,-0.08%
1,2023-01-05,75.46,0.77,+1.02%
2,2023-01-04,74.69,3.22,-4.13%
3,2023-01-03,77.91,3.15,-3.88%
4,2022-12-30,81.06,2.38,+3.02%
5,2022-12-29,78.68,0.78,-0.97%
6,2022-12-28,79.45,0.84,-1.04%
0,2022-12-27,80.29,0.18,+0.22%
1,2022-12-23,80.11,2.83,+3.65%
2,2022-12-22,76.87,0.23,-0.29%
3,2022-12-21,77.1,0.69,+0.90%
4,2022-12-20,76.4,0.1,+0.12%
5,2022-12-19,76.31,0.42,+0.55%
6,2022-12-16,75.89,1.01,-1.31%
0,2022-12-15,76.9,0.77,-0.98%
1,2022-12-14,77.67,1.04,+1.36%
2,2022-12-13,76.62,1.49,+1.98%
3,2022-12-12,75.13,1.42,+1.92%
4,2022-12-09,73.71,0.25,+0.34%
5,2022-12-08,73.45,0.42,-0.57%
6,2022-12-07,73.88,1.24,-1.65%
0,2022-12-06,75.12,2.4,-3.09%
1,2022-12-05,77.52,2.58,-3.21%
2,2022-12-02,80.1,0.84,-1.04%
3,2022-12-01,80.94,0.48,+0.59%
4,2022-11-30,80.47,3.25,+4.21%
5,2022-11-29,77.21,0.29,+0.37%
6,2022-11-28,76.93,0.73,+0.96%
0,2022-11-25,76.19,1.43,-1.83%
1,2022-11-23,77.62,3.04,-3.76%
2,2022-11-22,86.6,0.02,-0.02%
3,2022-11-21,86.62,0.23,-0.26%
4,2022-11-18,86.86,0.73,-0.83%
5,2022-11-17,87.59,1.35,-1.51%
6,2022-11-16,88.94,0.5,-0.56%
0,2022-11-15,89.44,0.06,-0.06%
1,2022-11-14,89.5,1.61,-1.76%
2,2022-11-11,91.11,1.75,+1.96%
3,2022-11-10,89.36,0.55,+0.62%
4,2022-11-09,88.8,1.82,-2.00%
5,2022-11-08,90.62,2.06,-2.22%
6,2022-11-07,92.69,0.94,-1.00%
0,2022-11-04,93.63,4.13,+4.61%
1,2022-11-03,89.5,2.37,-2.58%
2,2022-11-02,91.87,0.65,+0.71%
3,2022-11-01,91.22,1.79,+2.00%
4,2022-10-31,89.43,0.8,-0.88%
5,2022-10-28,90.23,1.73,-1.88%
6,2022-10-27,91.96,1.03,+1.13%
0,2022-10-26,90.92,2.05,+2.30%
1,2022-10-25,88.88,0.35,+0.39%
2,2022-10-24,88.53,0.12,-0.14%
3,2022-10-21,90.95,0.41,+0.45%
4,2022-10-20,90.54,0.02,+0.01%
5,2022-10-19,90.53,0.61,+0.68%
6,2022-10-18,89.92,0.79,-0.87%
0,2022-10-17,90.71,0.08,-0.08%
1,2022-10-14,90.78,1.64,-1.77%
2,2022-10-13,92.42,0.85,+0.92%
3,2022-10-12,91.58,1.36,-1.46%
4,2022-10-11,92.93,1.49,-1.57%
5,2022-10-10,94.42,1.38,-1.44%
6,2022-10-07,95.8,2.82,+3.03%
0,2022-10-06,92.98,0.86,+0.93%
1,2022-10-05,92.12,1.21,+1.33%
2,2022-10-04,90.9,2.88,+3.26%
3,2022-10-03,88.03,3.75,+4.44%
4,2022-09-30,84.28,1.88,-2.18%
5,2022-09-29,86.16,0.54,-0.62%
6,2022-09-28,86.7,3.07,+3.67%
0,2022-09-27,83.63,1.7,+2.07%
1,2022-09-26,81.93,2.23,-2.65%
2,2022-09-23,84.17,4.33,-4.89%
3,2022-09-22,92.18,0.36,+0.39%
4,2022-09-21,91.81,0.09,-0.09%
5,2022-09-20,91.9,0.56,-0.60%
6,2022-09-19,92.46,0.2,+0.21%
0,2022-09-16,92.26,0.28,+0.30%
1,2022-09-15,91.98,1.38,-1.47%
2,2022-09-14,93.35,0.84,+0.91%
3,2022-09-13,92.51,0.85,-0.90%
4,2022-09-12,93.36,0.58,+0.62%
5,2022-09-09,92.78,2.61,+2.89%
6,2022-09-08,90.17,0.8,+0.89%
0,2022-09-07,89.36,3.77,-4.04%
1,2022-09-06,93.13,0.53,+0.57%
2,2022-09-02,92.6,0.52,+0.57%
3,2022-09-01,92.08,2.69,-2.83%
4,2022-08-31,94.77,1.72,-1.78%
5,2022-08-30,96.48,5.38,-5.27%
6,2022-08-29,101.86,3.9,+3.98%
0,2022-08-26,97.95,1.21,+1.25%
1,2022-08-25,96.74,1.65,-1.67%
2,2022-08-24,98.39,1.06,+1.09%
3,2022-08-23,96.41,1.02,+1.06%
4,2022-08-22,95.39,0.0,0.00%
5,2022-08-19,95.39,0.21,+0.22%
6,2022-08-18,95.18,1.14,+1.21%
0,2022-08-17,94.04,0.57,+0.61%
1,2022-08-16,93.46,1.5,-1.58%
2,2022-08-15,94.97,1.51,-1.56%
3,2022-08-12,96.48,1.7,-1.72%
4,2022-08-11,98.18,1.31,+1.35%
5,2022-08-10,96.87,0.89,+0.92%
6,2022-08-09,95.97,0.07,-0.07%
0,2022-08-08,96.04,1.64,+1.73%
1,2022-08-05,94.41,0.32,+0.34%
2,2022-08-04,94.08,1.89,-1.96%
3,2022-08-03,95.97,3.43,-3.45%
4,2022-08-02,99.4,1.53,+1.56%
5,2022-08-01,97.87,3.65,-3.59%
6,2022-07-29,101.52,1.82,+1.82%
0,2022-07-28,99.7,0.44,+0.44%
1,2022-07-27,99.27,1.79,+1.83%
2,2022-07-26,97.48,0.65,-0.66%
3,2022-07-25,98.13,2.03,+2.11%
4,2022-07-22,102.32,0.23,-0.22%
5,2022-07-21,102.55,1.0,-0.96%
6,2022-07-20,103.54,0.24,-0.23%
0,2022-07-19,103.78,0.2,+0.19%
1,2022-07-18,103.58,2.55,+2.52%
2,2022-07-15,101.03,1.33,+1.33%
3,2022-07-14,99.7,0.29,-0.29%
4,2022-07-13,100.0,0.86,+0.86%
5,2022-07-12,99.14,5.14,-4.92%
6,2022-07-11,104.28,0.05,+0.04%
0,2022-07-08,104.22,2.2,+2.15%
1,2022-07-07,102.02,3.04,+3.07%
2,2022-07-06,98.98,1.75,-1.74%
3,2022-07-05,100.73,7.16,-6.63%
4,2022-07-01,107.89,3.06,+2.92%
5,2022-06-30,104.83,3.33,-3.08%
6,2022-06-29,108.17,1.47,-1.33%
0,2022-06-28,109.64,2.8,+2.62%
1,2022-06-27,106.83,2.2,+2.09%
2,2022-06-24,104.64,2.47,+2.41%
3,2022-06-23,102.17,1.98,-1.90%
4,2022-06-22,112.34,1.01,-0.88%
5,2022-06-21,113.34,0.63,+0.55%
6,2022-06-17,112.72,2.62,-2.27%
0,2022-06-16,115.34,0.99,+0.86%
1,2022-06-15,114.35,1.35,-1.17%
2,2022-06-14,115.71,0.93,-0.79%
3,2022-06-13,116.64,0.04,-0.03%
4,2022-06-10,116.67,0.41,-0.35%
5,2022-06-09,117.09,0.41,-0.35%
6,2022-06-08,117.5,2.22,+1.92%
0,2022-06-07,115.29,1.28,+1.11%
1,2022-06-06,114.01,0.18,+0.15%
2,2022-06-03,113.83,1.81,+1.61%
3,2022-06-02,112.02,1.11,+1.00%
4,2022-06-01,110.91,0.33,+0.29%
5,2022-05-31,110.58,0.29,-0.26%
6,2022-05-27,110.86,1.09,+0.99%
0,2022-05-26,109.78,2.85,+2.67%
1,2022-05-25,106.92,0.61,+0.57%
2,2022-05-24,106.31,0.44,-0.41%
3,2022-05-23,107.32,0.11,+0.10%
4,2022-05-20,107.21,0.22,+0.20%
5,2022-05-19,106.99,1.46,+1.38%
6,2022-05-18,105.53,1.35,-1.26%
0,2022-05-17,106.88,1.52,-1.40%
1,2022-05-16,108.4,1.17,+1.09%
2,2022-05-13,107.23,2.56,+2.44%
3,2022-05-12,104.66,0.1,+0.09%
4,2022-05-11,104.56,4.14,+4.11%
5,2022-05-10,100.43,2.37,-2.30%
6,2022-05-09,102.79,4.78,-4.44%
0,2022-05-06,107.57,1.17,+1.09%
1,2022-05-05,106.4,0.43,+0.40%
2,2022-05-04,105.97,2.58,+2.49%
3,2022-05-03,103.39,0.47,-0.45%
4,2022-05-02,103.86,0.44,+0.42%
5,2022-04-29,103.42,0.52,-0.49%
6,2022-04-28,103.94,2.42,+2.38%
0,2022-04-27,101.51,0.28,+0.27%
1,2022-04-26,101.24,2.55,+2.58%
2,2022-04-25,98.69,3.98,-3.87%
3,2022-04-22,103.43,0.42,-0.40%
4,2022-04-21,103.85,0.73,+0.70%
5,2022-04-20,103.12,0.03,+0.02%
6,2022-04-19,103.09,2.35,-2.22%
0,2022-04-18,105.44,0.62,+0.58%
1,2022-04-14,104.82,1.12,+1.08%
2,2022-04-13,103.7,2.21,+2.17%
3,2022-04-12,101.49,4.47,+4.60%
4,2022-04-11,97.02,2.7,-2.70%
5,2022-04-08,99.72,1.29,+1.31%
6,2022-04-07,98.42,0.39,-0.38%
0,2022-04-06,98.81,4.46,-4.31%
1,2022-04-05,103.27,1.5,-1.42%
2,2022-04-04,104.77,2.91,+2.86%
3,2022-04-01,101.85,0.02,-0.01%
4,2022-03-31,101.87,6.26,-5.79%
5,2022-03-30,108.13,4.32,+4.16%
6,2022-03-29,103.81,1.72,-1.62%
0,2022-03-28,105.53,7.86,-6.93%
1,2022-03-25,113.39,2.67,+2.40%
2,2022-03-24,110.72,3.02,-2.65%
3,2022-03-23,112.59,1.16,+1.03%
4,2022-03-22,111.43,0.3,-0.26%
5,2022-03-21,111.73,2.74,+2.51%
6,2022-03-18,108.99,0.21,+0.19%
0,2022-03-17,108.78,3.89,+3.70%
1,2022-03-16,104.89,0.88,-0.82%
2,2022-03-15,105.76,3.42,-3.12%
3,2022-03-14,109.18,3.41,-3.02%
4,2022-03-11,112.59,2.39,+2.16%
5,2022-03-10,110.2,0.66,-0.59%
6,2022-03-09,110.86,11.67,-9.52%
0,2022-03-08,122.53,4.35,+3.68%
1,2022-03-07,118.18,3.23,+2.80%
2,2022-03-04,114.95,8.37,+7.85%
3,2022-03-03,106.58,2.82,-2.57%
4,2022-03-02,109.4,7.39,+7.24%
5,2022-03-01,102.0,6.64,+6.96%
6,2022-02-28,95.36,3.76,+4.10%
0,2022-02-25,91.6,1.39,-1.49%
1,2022-02-24,92.99,0.83,+0.89%
2,2022-02-23,92.16,0.26,+0.28%
3,2022-02-22,91.9,2.56,+2.86%
4,2022-02-18,90.9,0.23,+0.24%
5,2022-02-17,90.67,0.89,-0.96%
6,2022-02-16,91.56,0.7,+0.76%
0,2022-02-15,90.86,1.75,-1.88%
1,2022-02-14,92.61,0.81,+0.88%
2,2022-02-11,91.79,1.87,+2.08%
3,2022-02-10,89.92,0.04,+0.03%
4,2022-02-09,89.88,0.6,+0.67%
5,2022-02-08,89.28,1.48,-1.62%
6,2022-02-07,90.76,0.3,-0.32%
0,2022-02-04,91.06,1.9,+2.13%
1,2022-02-03,89.16,1.39,+1.58%
2,2022-02-02,87.77,0.35,+0.39%
3,2022-02-01,87.42,0.03,-0.03%
4,2022-01-31,87.45,0.75,+0.86%
5,2022-01-28,86.7,0.43,+0.49%
6,2022-01-27,86.28,0.56,-0.63%
0,2022-01-26,86.83,1.48,+1.73%
1,2022-01-25,85.35,1.81,+2.16%
2,2022-01-24,82.87,0.42,-0.50%
3,2022-01-21,83.29,0.2,-0.24%
4,2022-01-20,83.5,0.06,-0.07%
5,2022-01-19,83.56,0.34,+0.40%
6,2022-01-18,83.22,0.95,+1.15%
0,2022-01-14,82.27,0.97,+1.19%
1,2022-01-13,81.3,0.04,-0.05%
2,2022-01-12,81.34,0.55,+0.68%
3,2022-01-11,80.79,1.9,+2.41%
4,2022-01-10,78.89,0.65,-0.81%
5,2022-01-07,79.53,0.16,-0.20%
6,2022-01-06,79.69,0.88,+1.12%
0,2022-01-05,78.81,0.79,+1.00%
1,2022-01-04,78.03,0.99,+1.29%
2,2022-01-03,77.03,1.37,+1.81%
3,2021-12-31,75.66,1.59,-2.05%
4,2021-12-30,77.25,0.26,+0.34%
5,2021-12-29,76.99,0.58,+0.76%
6,2021-12-28,76.4,0.22,+0.29%
0,2021-12-27,76.18,1.59,+2.13%
1,2021-12-23,72.99,0.28,+0.38%
2,2021-12-22,72.71,0.29,+0.39%
3,2021-12-21,72.42,0.77,+1.07%
4,2021-12-20,71.66,0.78,-1.07%
5,2021-12-17,72.43,0.59,-0.80%
6,2021-12-16,73.02,0.64,+0.87%
0,2021-12-15,72.38,0.16,+0.22%
1,2021-12-14,72.22,0.48,-0.66%
2,2021-12-13,72.71,0.48,-0.65%
3,2021-12-10,73.19,0.47,+0.64%
4,2021-12-09,72.72,0.97,-1.31%
5,2021-12-08,73.69,0.15,+0.21%
6,2021-12-07,73.54,1.88,+2.62%
0,2021-12-06,71.65,2.75,+3.98%
1,2021-12-03,68.91,0.29,+0.42%
2,2021-12-02,68.62,0.88,+1.30%
3,2021-12-01,67.73,0.28,-0.41%
4,2021-11-30,68.02,3.79,-5.27%
5,2021-11-29,71.81,1.57,+2.23%
6,2021-11-26,70.24,9.31,-11.70%
0,2021-11-24,79.55,0.1,-0.13%
1,2021-11-23,79.66,2.51,+3.24%
2,2021-11-22,80.55,0.22,+0.27%
3,2021-11-19,80.33,0.78,-0.95%
4,2021-11-18,81.11,0.34,+0.42%
5,2021-11-17,80.76,0.9,-1.10%
6,2021-11-16,81.67,0.25,+0.31%
0,2021-11-15,81.41,0.07,-0.08%
1,2021-11-12,81.48,0.18,-0.22%
2,2021-11-11,81.67,0.39,+0.48%
3,2021-11-10,81.27,1.31,-1.58%
4,2021-11-09,82.58,0.96,+1.17%
5,2021-11-08,81.62,0.68,+0.83%
6,2021-11-05,80.94,1.99,+2.52%
0,2021-11-04,78.95,1.21,-1.51%
1,2021-11-03,80.16,2.38,-2.88%
2,2021-11-02,82.54,0.15,+0.18%
3,2021-11-01,82.38,1.01,+1.24%
4,2021-10-29,81.37,0.1,+0.12%
5,2021-10-28,81.27,0.17,-0.20%
6,2021-10-27,81.44,1.79,-2.14%
0,2021-10-26,83.23,0.51,+0.61%
1,2021-10-25,82.72,0.58,+0.70%
2,2021-10-22,81.61,0.18,+0.21%
3,2021-10-21,81.44,0.38,-0.45%
4,2021-10-20,81.81,0.2,+0.24%
5,2021-10-19,81.61,0.3,+0.37%
6,2021-10-18,81.31,0.2,-0.24%
0,2021-10-15,81.51,0.56,+0.69%
1,2021-10-14,80.95,0.5,+0.62%
2,2021-10-13,80.45,0.13,-0.16%
3,2021-10-12,80.58,0.1,-0.12%
4,2021-10-11,80.68,0.92,+1.14%
5,2021-10-08,79.76,0.31,+0.39%
6,2021-10-07,79.45,0.76,+0.96%
0,2021-10-06,78.69,1.02,-1.27%
1,2021-10-05,79.71,1.19,+1.51%
2,2021-10-04,78.52,1.76,+2.28%
3,2021-10-01,76.77,0.95,+1.25%
4,2021-09-30,75.81,0.11,+0.14%
5,2021-09-29,75.7,0.38,-0.49%
6,2021-09-28,76.08,0.24,-0.30%
0,2021-09-27,76.31,1.29,+1.72%
1,2021-09-24,75.02,0.65,+0.87%
2,2021-09-23,74.37,1.0,+1.35%
3,2021-09-22,72.14,0.57,+0.79%
4,2021-09-21,71.58,0.22,+0.30%
5,2021-09-20,71.36,0.56,-0.77%
6,2021-09-17,71.92,0.15,-0.21%
0,2021-09-16,72.07,0.02,-0.02%
1,2021-09-15,72.09,0.89,+1.25%
2,2021-09-14,71.19,0.08,+0.11%
3,2021-09-13,71.11,0.41,+0.57%
4,2021-09-10,70.7,1.07,+1.53%
5,2021-09-09,69.63,0.75,-1.06%
6,2021-09-08,70.38,0.67,+0.95%
0,2021-09-07,69.71,0.93,-1.31%
1,2021-09-03,70.64,0.58,-0.81%
2,2021-09-02,71.22,1.29,+1.85%
3,2021-09-01,69.92,0.24,+0.34%
4,2021-08-31,69.68,0.62,-0.88%
5,2021-08-30,70.31,0.53,+0.75%
6,2021-08-27,69.78,1.54,+2.26%
0,2021-08-26,68.24,1.06,-1.52%
1,2021-08-25,69.3,0.85,+1.24%
2,2021-08-24,68.45,1.89,+2.83%
3,2021-08-23,68.76,1.16,+1.71%
4,2021-08-20,67.6,0.43,-0.63%
5,2021-08-19,68.03,0.92,-1.33%
6,2021-08-18,68.95,0.39,-0.55%
0,2021-08-17,69.33,0.19,-0.27%
1,2021-08-16,69.53,0.53,-0.74%
2,2021-08-13,70.05,0.39,-0.54%
3,2021-08-12,70.44,0.01,+0.01%
4,2021-08-11,70.42,0.71,+1.01%
5,2021-08-10,69.71,1.22,+1.77%
6,2021-08-09,68.49,1.25,-1.79%
0,2021-08-06,69.74,0.48,-0.68%
1,2021-08-05,70.22,0.84,+1.20%
2,2021-08-04,69.39,1.56,-2.20%
3,2021-08-03,70.95,0.43,-0.59%
4,2021-08-02,71.37,2.37,-3.20%
5,2021-07-30,73.74,0.45,+0.61%
6,2021-07-29,73.29,1.25,+1.72%
0,2021-07-28,72.04,0.23,+0.32%
1,2021-07-27,71.81,0.18,-0.24%
2,2021-07-26,71.99,0.18,+0.24%
3,2021-07-23,71.81,0.39,+0.55%
4,2021-07-22,72.81,0.53,+0.72%
5,2021-07-21,72.28,1.0,+1.40%
6,2021-07-20,71.28,0.28,+0.39%
0,2021-07-19,71.01,1.91,-2.61%
1,2021-07-16,72.92,0.08,+0.11%
2,2021-07-15,72.83,0.65,-0.88%
3,2021-07-14,73.48,0.88,-1.17%
4,2021-07-13,74.36,0.82,+1.11%
5,2021-07-12,73.54,0.18,-0.24%
6,2021-07-09,73.72,1.14,+1.57%
0,2021-07-08,72.58,0.49,+0.68%
1,2021-07-07,72.08,0.85,-1.16%
2,2021-07-06,72.93,0.95,-1.29%
3,2021-07-02,74.23,0.35,+0.48%
4,2021-07-01,73.88,1.28,+1.76%
5,2021-06-30,72.6,0.38,+0.51%
6,2021-06-29,72.23,0.33,+0.45%
0,2021-06-28,71.9,1.23,-1.67%
1,2021-06-25,73.13,0.52,+0.71%
2,2021-06-24,72.61,0.32,+0.44%
3,2021-06-23,72.29,0.48,+0.67%
4,2021-06-22,71.41,0.07,-0.09%
5,2021-06-21,71.48,0.41,+0.57%
6,2021-06-18,71.07,0.13,+0.18%
0,2021-06-17,70.94,0.62,-0.86%
1,2021-06-16,71.56,0.17,+0.23%
2,2021-06-15,71.39,0.61,+0.86%
3,2021-06-14,70.78,0.17,+0.24%
4,2021-06-11,70.61,0.09,+0.12%
5,2021-06-10,70.52,0.18,+0.25%
6,2021-06-09,70.34,0.02,-0.02%
0,2021-06-08,70.36,0.52,+0.74%
1,2021-06-07,69.84,0.19,-0.27%
